Well,Platform,Sand Risk,"WHFP
(bars)",Date of last survey,Last sand level,Sand control,"ClampOn
Survey
Frequency",Delay survey (days),Next Survey Date,Velocity,Choke Type,"Top Perfo Depth
(mSS)",Current Qgas (MMscfd),DP Ratio
TN-AA334,GTSAA,Critical,84,25-Dec-23,Sand Free,SCON SandTrap AB,1 week,5,1-Jan-24,,,1636,2.7,3
TN-S194,GTSS,Critical,48,29-Dec-23,Sand Free,SCON SacTi,1 week,1,5-Jan-24,,Masterflo P3,965,0.5,4
TN-S211,GTSS,Critical,80,29-Dec-23,Sand Free,HESS Screen,1 week,1,5-Jan-24,,Masterflo P3,1529,1.1,7
TN-A184,GTSA,Critical,62,1-Jan-24,Sandy,TTCS 250 micron,1 week,0,8-Jan-24,,Masterflo P3,1687,0.4,5
TN-A36,GTSA,Critical,14,30-Dec-23,Sand Free,NO,2 weeks,0,13-Jan-24,0.41,Vonk DV,2173,0.4,1
TN-A472,GTSA,Critical,52,30-Dec-23,Sand Free,NO,2 week,0,13-Jan-24,,Masterflo P3,2169,1.6,4
TN-AA207,GTSAA,Critical,56,3-Jan-24,Sand Free,SCON SandTrap AB,1 week,0,10-Jan-24,,Masterflo P3,1340,1.9,3
TN-AA221,GTSAA,Critical,33,26-Dec-23,Sand Free,OH-SAS,1 week,0,2-Jan-24,,Masterflo P3,1249,1.2,2
TN-AA226,GTSS,Critical,100,31-Dec-23,Sand Free,SCON SandTrap AB,1 week,0,7-Jan-24,,Masterflo P3,1721,2.1,8
TN-AA239,GTSAA,Critical,54,2-Jan-24,Sand Free,SCON SandTrap AB,1 week,0,9-Jan-24,,Masterflo P3,1142,0.5,4
TN-AA252,GTSAA,Critical,100,3-Jan-24,Sand Free,HESS Screen,1 week,0,10-Jan-24,,,1548,1.6,7
TN-AA256,GTSAA,Critical,90,3-Jan-24,Sand Free,SCON SacTi,1 week,0,10-Jan-24,,,1132,1.7,7
TN-AA257,GTSAA,Critical,85,3-Jan-24,Sand Free,SCON SacTi,1 week,0,10-Jan-24,,,1772,1,7
TN-AA323,GTSAA,Critical,104,2-Jan-24,Sand Free,SCON SandTrap AB,1 week,0,9-Jan-24,,,1234,2.6,6
TN-AA361,GTSAA,Critical,88,2-Jan-24,Sand Free,HESS Screen,1 week,0,9-Jan-24,,,1165,1.8,5
TN-AA373,GTSAA,Critical,60,2-Jan-24,Sand Free,HESS Screen,1 week,0,9-Jan-24,,Masterflo P3,1322,0,3
TN-AA391,GTSS,Critical,75,2-Jan-24,Sand Free,SCON SandTrap AB,1 week,0,9-Jan-24,,Masterflo P3,1080,2.6,4
TN-AA392,GTSAA,Critical,39,2-Jan-24,Sand Free,TTCS 250 micron,2 weeks,0,16-Jan-24,,Masterflo P3,1386,0,2
TN-AA394,GTSAA,Critical,43,3-Jan-24,Sand Free,HESS Screen,1 week,0,10-Jan-24,,Masterflo P3,1447,1.1,2
TN-AA657,GTSAA,Critical,80,4-Jan-24,Sand Free,SCON ST225/359,1 week,0,11-Jan-24,,,1665,2.1,4
TN-AA658,GTSAA,Critical,68,4-Jan-24,Sand Free,SCON SacTi,1 week,0,11-Jan-24,,,1789,2.7,3
TN-AA651,GTSAA,Critical,80,2-Jan-24,Sand Free,HESS Screen,1 week,0,9-Jan-24,,,1320,1.8,4
TN-B174,GTSB,Critical,21,1-Jan-24,Sand Free,Screen Filtrex,2 weeks,0,15-Jan-24,,Masterflo P3,1169,0.5,2
TN-B178,GTSB,Critical,60,31-Dec-23,Sand Free,Sand trap ABC,1 week,0,7-Jan-24,,Masterflo P3,1091,1.6,5
TN-B183,GTSB,Critical,75,31-Dec-23,Sand Free,SCON SacTi,1 week,0,7-Jan-24,,,1413,1.5,6
TN-B185,GTSB,Critical,40,31-Dec-23,Sand Free,SCON SacTi,1 week,0,7-Jan-24,,,1525,1.6,3
TN-B81,GTSB,Critical,29,4-Jan-24,Sand Free,SCON SandTrap AB,1 week,0,11-Jan-24,0,Vonk Non DV,818,0,2
TN-C446,GTSC,Critical,93,31-Dec-23,Sand Free,NO,1 week,0,7-Jan-24,1.17,Vonk Non DV,2339,1.2,7
TN-F30,GTSF,Critical,12,29-Dec-23,Sand Free,NO,2 weeks,0,12-Jan-24,0,Vonk,2211,0,1
TN-Fx129,GTSFx,Critical,70,itu psi,Sand Free,NO,1 week,0,9-Jan-24,0.15,Cameron Fixed,2555,0.2,6
TN-Gx158,GTSGx,Critical,52,27-Dec-23,Sand Free,HESS Screen,1 week,0,24-Jan-24,0.98,Cameron Plug & Cage CC40,1575,0.9,5
TN-S245,GTSS,Critical,82,5-Jan-24,Sand Free,SCON SandTrap AB,1 week,0,12-Jan-24,,,1582,1.1,7
TN-S247,GTSS,Critical,30,5-Jan-24,Sand Free,HESS Screen 250 micron,1 week,0,12-Jan-24,,,1694,0.5,3
TN-S182,GTSS,Critical,28,31-Dec-23,Sand Free,PO Screen - HESS,1 week,0,7-Jan-24,,Masterflo P3,412,0.4,2
TN-S189,GTSS,Critical,27,31-Dec-23,Sand Free,HESS Screen,1 week,0,7-Jan-24,,Masterflo P3,737,0.9,2
TN-S190,GTSS,Critical,21,31-Dec-23,Sand Free,SCON,2 weeks,0,14-Jan-24,,Masterflo P3,1217,0,2
