Well,Platform,Sand Risk,"WHFP
(bars)",Date of last survey,Last sand level,Marker,Sand control,"ClampOn
Survey
Frequency",Delay survey (days),Next Survey Date,Velocity,SandProbe installation date,Choke Type,T-shape Installation,"EMS
(Erosion Monitoring system)",Gas Detector,"Change
choke
request",WELL STATUS,"Top Perfo Depth
(mSS)",Current Qgas (MMscfd),"DP Ratio (WHFP/ Flow Line Pressure), Barg",Max. Del. Pot. (MMscfd)
TN-AA334,GTSAA,Critical,84,25-Dec-23,Sand Free,Shallow,SCON SandTrap AB,1 week,5,1-Jan-24,,,,YES,,,,Visited 31/12/2023.  Nuflo OK.,1636,2.7,3,
TN-S194,GTSS,Critical,48,29-Dec-23,Sand Free,Shallow,SCON SacTi,1 week,1,5-Jan-24,,21-Oct-20,Masterflo P3,YES,,,,Last visited on 31/12/2023. Qgas from Nuflo. ESDV Transit at GTS Indication broken.,965,0.5,4,
TN-S211,GTSS,Critical,80,29-Dec-23,Sand Free,Shallow,HESS Screen,1 week,1,5-Jan-24,,19-Jul-19,Masterflo P3,,,,,Last visited on 31/12/2023. Qgas from Nuflo. (Qgas limitation 1.5 MMscfd).,1529,1.1,7,
TN-A184,GTSA,Critical,62,1-Jan-24,Sandy,Shallow,TTCS 250 micron,1 week,0,8-Jan-24,,,Masterflo P3,YES,,,,"Ramp up in progress. Last opening choke 8/64"" Well visited (04/01/2024). Barton Chart Missing. NuFlo OK.  Flow to TMP-1.",1687,0.4,5,
TN-A36,GTSA,Critical,14,30-Dec-23,Sand Free,Intrabeta,NO,2 weeks,0,13-Jan-24,0.41,27-Jun-11,Vonk DV,YES, , ,,Well visited (23/12/2023). (Qgas from TBRG on 30/11/2023). Nuflo not accurate. Flow to TMP-2. CI stop due to low level.,2173,0.4,1,0
TN-A472,GTSA,Critical,52,30-Dec-23,Sand Free,Intrabeta,NO,2 week,0,13-Jan-24,,12-May-20,Masterflo P3,YES,,,,Well visited (23/12/2023). UMV hydraulic pump broken (Jumper from DHSV pump). Qgas From Nuflo.  Flow to TMP-2,2169,1.6,4,
TN-AA207,GTSAA,Critical,56,3-Jan-24,Sand Free,Shallow,SCON SandTrap AB,1 week,0,10-Jan-24,,18-Sep-20,Masterflo P3,YES,,,,Visited 31/12/2023. Nuflo OK. DHSV type K Valve. Cant access when low tide due to ladder broken. CI stop due to oscillamatic continuous venting,1340,1.9,3,
TN-AA221,GTSAA,Critical,33,26-Dec-23,Sand Free,Shallow,OH-SAS,1 week,0,2-Jan-24,,14-Jul-20,Masterflo P3,YES,,,,"Ramp up inprogress. Last opening choke 10/64. (Target WH choke opening 22/64""). Visited 04/01/2024. Nuflo OK. Stranded Area (minimum tide 1m). Qgas from nuflo.",1249,1.2,2,
TN-AA226,GTSS,Critical,100,31-Dec-23,Sand Free,Shallow,SCON SandTrap AB,1 week,0,7-Jan-24,,2-Mar-20,Masterflo P3,,,,,Visited 29/12/2023. Nuflo OK. ( STRANDED AREA ).,1721,2.1,8,
TN-AA239,GTSAA,Critical,54,2-Jan-24,Sand Free,Shallow,SCON SandTrap AB,1 week,0,9-Jan-24,,,Masterflo P3,YES,,,,"Ramp up inprogress,Last opening choke 10/64. (Target 22/64"" or Qgas 2 MMscfd), Visited  02/01/2024. Nuflo Ok. CI package not completed. Barton chart was missing.",1142,0.5,4,
TN-AA252,GTSAA,Critical,100,3-Jan-24,Sand Free,Shallow,HESS Screen,1 week,0,10-Jan-24,,,,YES,,,,Visited 02/01/2024. Qgas from Nuflo.,1548,1.6,7,
TN-AA256,GTSAA,Critical,90,3-Jan-24,Sand Free,Shallow,SCON SacTi,1 week,0,10-Jan-24,,,,YES,,,,Visited 02/01/2024. Qgas from Nuflo.,1132,1.7,7,
TN-AA257,GTSAA,Critical,85,3-Jan-24,Sand Free,Shallow,SCON SacTi,1 week,0,10-Jan-24,,,,YES,,,,Visited 02/01/2024. Qgas from Nuflo.,1772,1,7,
TN-AA323,GTSAA,Critical,104,2-Jan-24,Sand Free,Shallow,SCON SandTrap AB,1 week,0,9-Jan-24,,,,YES,,,,Visited 31/12/2023. Nuflo OK. CI pump low Perfomance.,1234,2.6,6,
TN-AA361,GTSAA,Critical,88,2-Jan-24,Sand Free,Shallow,HESS Screen,1 week,0,9-Jan-24,,,,YES,,,,Visited 28/12/2023. Nuflo OK. Stranded Area (minimum tide 1m).,1165,1.8,5,
TN-AA373,GTSAA,Critical,60,2-Jan-24,Sand Free,Shallow,HESS Screen,1 week,0,9-Jan-24,,3-Oct-19,Masterflo P3,YES,,,,Visited 29/12/2023. Qgas no refference. Resetting PSHH  into 50 barg.,1322,0,3,
TN-AA391,GTSS,Critical,75,2-Jan-24,Sand Free,Shallow,SCON SandTrap AB,1 week,0,9-Jan-24,,17-Jul-20,Masterflo P3,,,,,Visited 30/12/2023. Nuflo OK. Liner for WHP plugged. Resetting PSHH  into 50 barg.,1080,2.6,4,
TN-AA392,GTSAA,Critical,39,2-Jan-24,Sand Free,Shallow,TTCS 250 micron,2 weeks,0,16-Jan-24,,17-Jul-20,Masterflo P3,YES,,,,Visited 28/12/2023. Qgas no reference. Nuflo not accurate.,1386,0,2,
TN-AA394,GTSAA,Critical,43,3-Jan-24,Sand Free,Shallow,HESS Screen,1 week,0,10-Jan-24,,21-Jul-20,Masterflo P3,YES,,,,Visited 28/12/2023. Nuflo OK. Cant access when low tide due to ladder broken.,1447,1.1,2,
TN-AA657,GTSAA,Critical,80,4-Jan-24,Sand Free,Shallow,SCON ST225/359,1 week,0,11-Jan-24,,,,YES,,,,Visited 30/12/2023. Nuflo OK.,1665,2.1,4,
TN-AA658,GTSAA,Critical,68,4-Jan-24,Sand Free,Shallow,SCON SacTi,1 week,0,11-Jan-24,,,,YES,,,,Visited 30/12/2023.  Nuflo OK.,1789,2.7,3,
TN-AA651,GTSAA,Critical,80,2-Jan-24,Sand Free,Shallow,HESS Screen,1 week,0,9-Jan-24,,,,YES,,,,Visited 01/01/2024. Qgas from Nuflo. Temperature at Nuflo not acurate.,1320,1.8,4,
TN-B174,GTSB,Critical,21,1-Jan-24,Sand Free,Shallow,Screen Filtrex,2 weeks,0,15-Jan-24,,13-Oct-19,Masterflo P3,YES,,,,Well visited (26/12/2023). Qgas from nuflo. Flow to TMP-1.  Ensure to wellbase before depressurized flowline due to PSLL interconection.,1169,0.5,2,
TN-B178,GTSB,Critical,60,31-Dec-23,Sand Free,Shallow,Sand trap ABC,1 week,0,7-Jan-24,,14-Oct-19,Masterflo P3,YES,,,,Well visited (3/1/2024). Nuflo OK. Flow to TMP-1. PG #Ann-A broken. UMV low performance (UMV Hyd supply jumper from DHSV pump).,1091,1.6,5,
TN-B183,GTSB,Critical,75,31-Dec-23,Sand Free,Shallow,SCON SacTi,1 week,0,7-Jan-24,,,,YES,,,,Well visited (01/1/2024). Qgas from nuflo. Flow to TMP-1.,1413,1.5,6,
TN-B185,GTSB,Critical,40,31-Dec-23,Sand Free,Shallow,SCON SacTi,1 week,0,7-Jan-24,,,,YES,,,,Well visited (3/1/2024). Qgas from nuflo. Flow to TMP-1.,1525,1.6,3,
TN-B81,GTSB,Critical,29,4-Jan-24,Sand Free,Shallow,SCON SandTrap AB,1 week,0,11-Jan-24,0,19-Jan-16,Vonk Non DV,YES,,,,Well visited (3/1/2024). Ann pressure updated from WLC team. Nuflo not accurate. Flow to TMP 1. CI not injected due to leaking at level glass.,818,0,2,
